,Spectrogram,Local file path_y,Pitch,Note,Octave
10,"[[-6.6239545e+02 -6.8089404e+02 -7.2725934e+02 ... -6.9531714e+02
  -5.9003357e+02 -5.2908002e+02]
 [ 2.2118225e+02  2.1013014e+02  1.8266095e+02 ...  2.1400259e+02
   2.0533470e+02  1.9123398e+02]
 [ 3.8647881e+01  4.6340172e+01  7.0973633e+01 ...  8.5374283e+01
   4.9192745e+01  3.6324280e+01]
 ...
 [-9.9504471e-02  1.5544434e+00  1.0863295e+00 ... -6.2382569e+00
  -9.3478966e-01 -8.6389923e-01]
 [-1.6613960e-01 -1.6678677e+00 -2.9997063e+00 ... -5.4450836e+00
  -8.7059021e-01 -5.5079842e-01]
 [ 1.3495636e-01 -7.9911804e-01 -2.6108856e+00 ... -4.1326065e+00
  -2.1322632e-01 -1.3336182e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav,E2,E,2
11,"[[-6.5598468e+02 -6.7465686e+02 -7.1689276e+02 ... -6.9482355e+02
  -6.5160883e+02 -6.0904651e+02]
 [ 2.2228929e+02  2.0873256e+02  1.8508881e+02 ...  2.1397495e+02
   2.0656425e+02  1.9250629e+02]
 [ 2.8034092e+01  4.0863869e+01  7.0064987e+01 ...  7.4210052e+01
   6.6877029e+01  6.4433792e+01]
 ...
 [ 4.1004987e+00  2.4795308e+00 -4.2311001e-01 ... -1.8546915e+00
   2.5878525e-01 -7.1453190e-01]
 [-7.8590488e-01 -1.1196918e+00 -9.8144913e-01 ...  7.2278595e-01
  -9.6771240e-02 -1.9823132e+00]
 [ 9.2626953e-01  2.1474762e+00  1.7742386e+00 ... -1.2157288e+00
  -1.3788147e+00 -1.5924149e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav,F2,F,2
12,"[[-7.3314557e+02 -7.3000464e+02 -7.2895044e+02 ... -7.7315649e+02
  -7.6493970e+02 -7.6422516e+02]
 [ 1.8005649e+02  1.8263382e+02  1.8268137e+02 ...  1.5886429e+02
   1.6625784e+02  1.7371750e+02]
 [ 7.2915474e+01  7.3261246e+01  7.1825928e+01 ...  9.2683304e+01
   9.8518921e+01  1.0592595e+02]
 ...
 [-1.6334686e+00 -2.4053125e+00 -1.6586685e+00 ... -7.5210476e-01
  -3.6523438e-01 -1.0715828e+00]
 [ 2.0944977e-01 -2.8617477e-01  1.1479149e+00 ... -5.2180862e-01
   2.0719528e-01 -2.1338081e+00]
 [ 1.5301437e+00  1.2685394e-01 -1.0161209e+00 ...  6.7733002e-01
   1.9845734e+00  2.9810333e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav,F#2,F#,2
13,"[[-6.4678833e+02 -6.7772607e+02 -7.2760779e+02 ... -7.6668201e+02
  -7.3764307e+02 -7.1393353e+02]
 [ 2.3077036e+02  2.1973013e+02  1.9800661e+02 ...  1.6680643e+02
   1.9055508e+02  2.0056198e+02]
 [ 2.0718063e+01  3.8404243e+01  6.6922638e+01 ...  9.0330528e+01
   8.7447479e+01  7.5124878e+01]
 ...
 [ 1.8200684e-01  9.2978120e-01  2.1364403e-01 ...  6.7194080e-01
   2.6053333e+00  5.4631042e-01]
 [ 6.0920715e-02  5.7499123e-01  1.7794037e-01 ... -7.6841736e-01
  -1.4694481e+00 -3.7649918e-01]
 [ 1.0187302e+00  1.6314240e+00  2.0517426e+00 ... -7.0624542e-01
   5.5980682e-01  2.9783783e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav,G2,G,2
14,"[[-7.0588611e+02 -7.3210547e+02 -7.6659607e+02 ... -7.5789777e+02
  -7.3269519e+02 -7.1708655e+02]
 [ 1.9454156e+02  1.7573669e+02  1.5380241e+02 ...  1.6792480e+02
   1.9043457e+02  1.9808406e+02]
 [ 5.2963688e+01  6.4819389e+01  8.2617096e+01 ...  9.5718811e+01
   1.0204187e+02  1.0330480e+02]
 ...
 [ 1.4174926e+00  1.4690876e+00 -1.6896248e+00 ... -5.9671307e-01
  -2.8126392e+00 -2.7937679e+00]
 [ 1.0455093e+00  2.5884552e+00 -2.1837463e+00 ...  1.6436348e+00
   1.8227768e-01 -3.4484100e-01]
 [-7.1931458e-01 -2.6041412e-01  4.4464111e-02 ...  3.6463165e-01
   1.2817383e-01  1.5529175e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav,G#2,G#,2
15,"[[-6.44565063e+02 -6.66825745e+02 -6.92953003e+02 ... -7.39303589e+02
  -6.64440674e+02 -6.12311890e+02]
 [ 2.32622269e+02  2.22488876e+02  2.16849091e+02 ...  1.83463379e+02
   1.89018890e+02  1.78621307e+02]
 [ 2.90263901e+01  5.07687912e+01  8.39543915e+01 ...  8.28925018e+01
   5.97352219e+01  5.05274963e+01]
 ...
 [-2.07479954e+00 -8.54650497e-01 -1.92875338e+00 ...  1.18446827e+00
  -1.50525379e+00 -2.38704681e-03]
 [ 3.76410007e+00  3.32376480e+00 -1.76203537e+00 ... -2.16754913e-01
  -1.32078362e+00 -4.33382034e-01]
 [ 1.00128174e-01 -5.91125488e-02 -8.38394165e-02 ... -1.39518738e-01
   7.40242004e-01  8.09188843e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,A2,A,2
16,"[[-6.6624207e+02 -6.9002808e+02 -7.2597351e+02 ... -7.5460828e+02
  -6.6965717e+02 -6.1361700e+02]
 [ 2.2882625e+02  2.1858893e+02  2.0422336e+02 ...  1.8069495e+02
   2.0110373e+02  1.9496487e+02]
 [ 3.3949097e+01  5.7173622e+01  9.3583282e+01 ...  9.7952255e+01
   7.0212769e+01  5.7249481e+01]
 ...
 [-1.7081623e+00 -1.6896528e+00  4.1147804e-01 ... -4.9898415e+00
  -1.5540600e-01  1.4025288e+00]
 [ 6.4609718e-01  2.5932503e-01 -1.8589554e+00 ... -1.0666206e+01
  -2.0036697e+00  6.2672615e-01]
 [-5.8332825e-01  4.2252350e-01 -1.4059219e+00 ... -8.0705795e+00
  -5.8280182e-01  7.7130127e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,A#2,A#,2
17,"[[-6.9134009e+02 -7.1136682e+02 -7.5811090e+02 ... -7.5316193e+02
  -6.9762823e+02 -6.5382733e+02]
 [ 2.0174979e+02  1.8864949e+02  1.6282622e+02 ...  1.6423077e+02
   1.9270163e+02  1.9983383e+02]
 [ 4.9030895e+01  6.2133026e+01  8.7105957e+01 ...  8.0396767e+01
   8.1436157e+01  7.0727631e+01]
 ...
 [-2.1351957e-01 -1.5471840e+00  2.3037834e+00 ... -1.0039425e-01
  -1.1965866e+00 -1.7155647e+00]
 [ 1.5329247e+00  5.0918388e-01  2.8342705e+00 ... -7.4473572e-01
  -1.1415138e+00  2.0697021e-01]
 [-4.2084427e+00 -1.3123169e+00  1.3748169e+00 ... -9.2341614e-01
   3.9355469e-01  7.4510193e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,B2,B,2
18,"[[-6.7276074e+02 -6.9004126e+02 -7.1112292e+02 ... -7.6271124e+02
  -6.8906085e+02 -6.3244843e+02]
 [ 2.1549472e+02  2.1320047e+02  2.0142657e+02 ...  1.5418344e+02
   1.7849327e+02  1.7544885e+02]
 [ 5.3281013e+01  7.4729996e+01  9.4193794e+01 ...  8.3015274e+01
   6.6431824e+01  5.5078346e+01]
 ...
 [-1.1943383e+00 -1.4285524e+00 -2.0226393e+00 ... -7.2461510e-01
   1.1382713e+00  1.4992771e+00]
 [-1.2585182e+00  1.0184822e+00 -4.7979736e-01 ... -5.3807831e-01
   6.0582352e-01  1.0828838e+00]
 [-1.2103806e+00 -2.7674255e+00 -1.1911850e+00 ... -1.8183365e+00
  -2.0104980e-01 -2.8226471e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav,C3,C,3
19,"[[-6.9888721e+02 -7.1668445e+02 -7.4238080e+02 ... -7.7620178e+02
  -6.9957794e+02 -6.5090552e+02]
 [ 2.0924855e+02  2.0459784e+02  1.9235292e+02 ...  1.5047235e+02
   1.9397025e+02  1.9455026e+02]
 [ 6.6248184e+01  7.9182961e+01  9.7964554e+01 ...  7.6900772e+01
   7.0443359e+01  5.6070438e+01]
 ...
 [-4.9932766e-01  4.4736195e-01 -4.7655106e-03 ... -8.3355904e-01
  -4.4005585e-01 -2.8539257e+00]
 [-8.3977890e-01 -9.0488434e-01 -7.9536438e-01 ... -9.3164062e-01
   1.4297218e+00  1.4053726e-01]
 [-8.0474854e-02 -3.5588837e-01  6.4579773e-01 ... -1.1630249e+00
   4.2259216e-02 -1.9991150e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,C#3,C#,3
20,"[[-6.6521729e+02 -6.9559650e+02 -7.3263934e+02 ... -7.6934650e+02
  -6.9975311e+02 -6.5475507e+02]
 [ 2.1543808e+02  2.1164697e+02  1.9903476e+02 ...  1.5218042e+02
   2.0062573e+02  2.1137445e+02]
 [ 5.2712807e+01  7.0424919e+01  9.7952759e+01 ...  7.8967056e+01
   7.8324066e+01  6.3319962e+01]
 ...
 [ 8.2603025e-01 -6.0015678e-02  6.2383556e-01 ... -1.6403389e-01
   1.3829479e+00  6.5261269e-01]
 [ 2.9610443e-01 -5.3321838e-01  3.2595444e-01 ... -1.3271751e+00
  -4.9061203e-01  8.3805084e-02]
 [-7.0141602e-01  1.1075211e+00  2.4512863e+00 ... -8.8988495e-01
  -3.3705902e-01 -2.0515442e-02]]",Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav,D3,D,3
21,"[[-7.0670105e+02 -7.0027710e+02 -7.0736078e+02 ... -7.5620044e+02
  -6.1832947e+02 -5.5115955e+02]
 [ 1.9360938e+02  2.0590161e+02  2.0075243e+02 ...  1.5512204e+02
   1.8904266e+02  1.8262355e+02]
 [ 7.4983269e+01  8.3186287e+01  8.4176979e+01 ...  7.5367493e+01
   4.2755257e+01  3.5034340e+01]
 ...
 [ 8.9092827e-01 -2.4359756e+00 -1.9066286e+00 ...  8.7643051e-01
   3.6042595e-01  6.6793060e-01]
 [-2.5387344e+00 -8.7731171e-01 -2.4663544e-01 ... -1.0712852e+00
   1.9946918e+00  2.0634327e+00]
 [-2.3990402e+00  1.3117142e+00  1.8045197e+00 ...  8.1932068e-02
   1.3617859e+00  9.2309570e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav,D#3,D#,3
22,"[[-7.3687537e+02 -7.4533783e+02 -7.4861993e+02 ... -7.4391681e+02
  -6.6524683e+02 -6.1692853e+02]
 [ 1.5946365e+02  1.5573239e+02  1.5118863e+02 ...  1.5432312e+02
   2.1076636e+02  2.2185608e+02]
 [ 7.0331978e+01  8.0048561e+01  8.0340775e+01 ...  7.7975586e+01
   7.4467865e+01  5.9988770e+01]
 ...
 [ 1.4800222e+00  3.8498020e-01 -1.3501463e+00 ... -6.3070679e-01
   1.0550432e+00 -1.1378002e+00]
 [ 8.3705902e-01 -1.8294525e-01 -4.8183823e-01 ... -1.4639778e+00
  -1.9146614e+00 -2.0291252e+00]
 [ 1.1983948e+00 -3.8496399e-01  4.0059662e-01 ... -1.5384064e+00
  -1.6245193e+00 -1.9831696e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav,E3,E,3
23,"[[-7.20608276e+02 -7.20671509e+02 -7.29734680e+02 ... -7.42986572e+02
  -6.55935425e+02 -6.00249695e+02]
 [ 1.87735321e+02  1.95201050e+02  1.91289001e+02 ...  1.66116104e+02
   1.99556122e+02  1.95869415e+02]
 [ 7.14161682e+01  8.35270691e+01  8.70619507e+01 ...  6.16728287e+01
   4.43622284e+01  3.91735268e+01]
 ...
 [-4.27308202e-01 -1.34258723e+00 -1.86823225e+00 ... -2.99584627e+00
  -1.75526404e+00 -3.89482498e-01]
 [-2.40370178e+00 -1.11840439e+00 -1.65668869e+00 ... -2.15994453e+00
  -8.92982483e-02  1.22109604e+00]
 [-1.63397980e+00  7.34191895e-01 -3.49166870e-01 ... -1.93212891e+00
  -1.52593231e+00 -1.21910095e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav,F3,F,3
24,"[[-6.9433972e+02 -6.8312537e+02 -6.8992065e+02 ... -7.4573993e+02
  -6.0690192e+02 -5.4118573e+02]
 [ 2.0326703e+02  2.1673538e+02  2.0779080e+02 ...  1.5076303e+02
   2.0107123e+02  1.9778592e+02]
 [ 7.4545654e+01  7.9254387e+01  7.6732590e+01 ...  6.6963821e+01
   2.9050291e+01  2.1534281e+01]
 ...
 [-2.4074620e-01  6.3370109e-01  2.0740265e-01 ...  8.7486744e-01
   3.7574768e-04 -8.0222511e-01]
 [ 3.7490845e-02 -8.8140869e-01 -2.0357628e+00 ... -7.1535873e-01
  -1.7768097e-01 -1.1733704e+00]
 [ 1.5531311e+00  4.2057037e-01 -8.5621643e-01 ... -9.4251251e-01
  -2.7040863e-01 -9.4714355e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav,F#3,F#,3
25,"[[-7.2589471e+02 -7.4870990e+02 -7.7258441e+02 ... -7.8540173e+02
  -6.5199231e+02 -5.8960205e+02]
 [ 1.9997861e+02  1.7494901e+02  1.4943677e+02 ...  1.3838280e+02
   1.8524780e+02  1.8587003e+02]
 [ 7.6464767e+01  8.3537399e+01  8.4106018e+01 ...  7.0788956e+01
   3.4896252e+01  2.3819601e+01]
 ...
 [ 1.8789868e+00  1.3990536e+00 -1.0283613e+00 ...  3.1075764e+00
   1.5264320e-01  1.2740612e-01]
 [-1.5190887e-01 -7.4206924e-01 -3.1742935e+00 ...  1.9163132e-01
   6.6996002e-01  1.2867107e+00]
 [ 6.3204956e-01  2.1855774e+00  2.0419540e+00 ...  7.6400757e-02
  -1.3735962e-01  3.9833069e-02]]",Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav,G3,G,3
26,"[[-6.7353778e+02 -6.9305432e+02 -7.2268341e+02 ... -7.8850623e+02
  -6.3898523e+02 -5.7539001e+02]
 [ 1.9928340e+02  2.0500221e+02  1.9214615e+02 ...  1.3505075e+02
   1.9077322e+02  1.9017310e+02]
 [ 3.8557934e+01  5.3979164e+01  6.9611977e+01 ...  6.5012306e+01
   2.8577581e+01  1.9925055e+01]
 ...
 [-1.1172392e+00 -2.4025500e-02 -2.4882047e+00 ... -2.0759544e+00
   4.1704178e-02  4.5844841e-01]
 [ 2.3834114e+00  9.3486977e-01 -1.8345947e+00 ...  3.5050201e-01
  -5.2367592e-01 -4.5048332e-01]
 [ 2.3986359e+00  1.9379272e+00  1.4723206e+00 ...  9.8936462e-01
  -3.1990051e-02  8.0553436e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav,G#3,G#,3
27,"[[-6.79055115e+02 -6.89908020e+02 -7.17277466e+02 ... -7.60727783e+02
  -6.13544067e+02 -5.44506836e+02]
 [ 1.90889206e+02  1.93256348e+02  1.74614441e+02 ...  1.25635826e+02
   1.90165863e+02  1.86272354e+02]
 [ 6.00925293e+01  6.94495239e+01  7.52513885e+01 ...  5.95931664e+01
   4.46331177e+01  4.17465019e+01]
 ...
 [-1.70516968e+00 -8.30550194e-01  8.45048904e-01 ...  1.79473209e+00
   1.77965260e+00  1.58148003e+00]
 [-2.00127029e+00 -1.12752914e+00  1.67088699e+00 ...  1.70938492e+00
   1.67897415e+00  8.12332153e-01]
 [-1.64169312e+00 -1.17093658e+00  1.64694977e+00 ...  1.19293213e-01
   1.84959412e-01 -4.85076904e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,A3,A,3
28,"[[-7.1892084e+02 -7.3971240e+02 -7.6694086e+02 ... -7.8767670e+02
  -6.6660663e+02 -6.0143347e+02]
 [ 1.8361923e+02  1.7053618e+02  1.4728845e+02 ...  1.1736879e+02
   1.7213889e+02  1.7217300e+02]
 [ 8.3156921e+01  8.5821144e+01  8.3407753e+01 ...  6.2826126e+01
   3.9325199e+01  3.2492851e+01]
 ...
 [-1.3595514e+00 -2.7570601e+00 -4.2265196e+00 ... -1.2503815e-01
   3.7998629e-01 -5.6504202e-01]
 [-9.7927094e-02  9.7479248e-01 -2.9151993e+00 ... -1.3271046e+00
  -5.6478500e-01 -3.5279655e-01]
 [ 1.2226944e+00  1.4153900e+00  5.4373932e-01 ...  8.7840271e-01
   8.4983826e-02 -3.4854889e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,A#3,A#,3
29,"[[-6.6583191e+02 -6.7306720e+02 -6.8826031e+02 ... -7.5729199e+02
  -7.0162366e+02 -6.5259833e+02]
 [ 1.9115508e+02  1.8628395e+02  1.7246863e+02 ...  9.8983871e+01
   1.4564203e+02  1.5391122e+02]
 [ 7.4996735e+01  7.6421326e+01  7.7359024e+01 ...  5.3329971e+01
   5.4525696e+01  4.3188221e+01]
 ...
 [-1.9641268e+00 -6.6879869e-02  1.8031101e+00 ... -2.0489879e+00
  -7.7148962e-01  7.8670931e-01]
 [ 2.0449409e+00  1.0909004e+00 -8.7217712e-01 ... -1.3164082e+00
  -5.5469513e-02  1.0229492e-01]
 [ 4.3299713e+00  1.8264771e+00 -1.0408707e+00 ... -1.4247513e-01
   1.7501831e+00  1.6832047e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,B3,B,3
30,"[[-6.75733459e+02 -6.75398560e+02 -6.88244812e+02 ... -7.22733582e+02
  -6.19957642e+02 -5.54883911e+02]
 [ 1.57909515e+02  1.58037811e+02  1.42756165e+02 ...  1.03210884e+02
   1.79261963e+02  1.81044098e+02]
 [ 8.25093994e+01  8.07936935e+01  7.30773621e+01 ...  5.50358200e+01
   5.67877121e+01  4.94454689e+01]
 ...
 [-1.15863419e+00  1.07938814e+00  8.61509323e-01 ... -1.82648325e+00
  -4.73217010e-01 -4.33637619e-01]
 [-7.18170166e-01  1.91358185e+00  7.06417084e-01 ... -8.76634598e-01
  -1.15029335e+00 -1.64402390e+00]
 [ 5.01098633e-02  1.82820892e+00  5.52993774e-01 ... -2.37396240e-01
  -1.12023163e+00 -1.78094482e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-C4-pp-N-N.wav,C4,C,4
